JobTitle,location,State,normalized_salary,work_type,pay_period,DevType
Senior Data Scientist,United States,Nationwide,160000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst Iv,"Connecticut, United States",CT,118000.0,FULL_TIME,YEARLY,Data or business analyst
Business Analyst Iv,"New York, United States",NY,118000.0,FULL_TIME,YEARLY,Data or business analyst
Cloud Data Analyst,United States,Nationwide,98800.0,CONTRACT,HOURLY,Data or business analyst
Enterprise Ai Experience Mgr,"New York, NY",NY,163250.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Analyst,"Washington, DC",WA,109103.5,FULL_TIME,YEARLY,Data or business analyst
Senior Business Analyst,"Washington, United States",WA,114400.0,TEMPORARY,HOURLY,Data or business analyst
Business Analyst,"Herndon, VA",VA,133596.0,FULL_TIME,YEARLY,Data or business analyst
"Brand Sales Specialist - Data, Ai & Automation","San Francisco, CA",CA,137000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer,United States,Nationwide,126880.0,CONTRACT,HOURLY,Data engineer
Business Analyst Intern,"Minneapolis, MN",MN,44657.6,FULL_TIME,HOURLY,Data or business analyst
Data Analyst,"Seattle, WA",WA,80500.0,FULL_TIME,YEARLY,Data or business analyst
Program Manager (Ai/Ml),"Austin, TX",TX,63.5,CONTRACT,YEARLY,Data scientist or machine learning specialist
Senior Software/Data Engineer,"Beverly Hills, CA",CA,150000.0,FULL_TIME,YEARLY,Data engineer
Data Engineer - Python [74476],"Orlando, FL",FL,118560.0,CONTRACT,HOURLY,Data engineer
Computer Vision/ Machine Learning Engineer,"Los Angeles, CA",CA,145600.0,CONTRACT,HOURLY,Data scientist or machine learning specialist
Artificial Intelligence Engineer - 1929765,United States,Nationwide,145000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Senior Reinsurance Business Analyst,"Schaumburg, IL",IL,120000.0,FULL_TIME,YEARLY,Data or business analyst
"Technical Business Analyst, Security","New York, NY",NY,70000.0,FULL_TIME,YEARLY,Data or business analyst
Clinical Data Analyst,"Greater Orlando, FL",FL,95680.0,CONTRACT,HOURLY,Data or business analyst
Remote Data Scientist,United States,Nationwide,130000.0,CONTRACT,HOURLY,Data scientist or machine learning specialist
Data Analyst,"Orlando, FL",FL,89440.0,CONTRACT,HOURLY,Data or business analyst
"Technical Business Analyst, Finops","New York, NY",NY,70000.0,FULL_TIME,YEARLY,Data or business analyst
